id,course,category,week,title,weekday,infotitle,info,resources,slides,recordings,zoom,document
16,EXSYS,Exercises,18,User stories,Monday,Analyse af brugssituationer,"1. Analyse af brugssituationer
Med udgangspunk i Suchman (2007) skal I udvælge en eller flere situationer som I så analyserer ud fra de to perspektiver. På grund af COVID19 kan det være svært at gå ud og observere brugssituationer in-the-wild, så start med at udvælge situationer I har adgang til eller kan bruge som fælles referenceramme. I kan eventuelt bruge billeder eller video fra nettet som reference. Her er et par forslag:
Føtex self-checkout: Snak jeres egne oplevelser igennem og prøv at identificer en eller flere typiske situationer I har observeret i Føtex. Forsøg at find et par genkendelige eksempler og analyser en eller flere af disse. (se også https://youtu.be/78T043b-hMc?t=97 eller https://www.youtube.com/watch?v=Q6G7bN8zHLU (satire))
IT-hjælp: Hvis I har været i en situation hvor I har skulle hjælpe et familiemedlem eller andre med at installere, opsætte, reparere eller på andre måde givet instruktion omkring IT/computer/apps/smartphones. Forsøg at find et par genkendelige eksempler og analyser en eller flere af disse.
Vaskemaskine eller billetautomat: Forsøg om I kan gennemgå de trin og mulige situationer der opstår ved brugen af en vaskemaskine eller billetautomat. Forsøg at find et par genkendelige eksempler og analyser en eller flere af disse.
Plan-perspektivet
Forsøg at identificer indlejrede `planer' i teknologien -- forudsætninger, rækkefølger og mål (som udtrykt i brugergrænsefladen eller observerbar)
Forsøg at kigge på kommunikationen omkring brugssituationen -- hvornår kunne der være tale om sproghandlinger hos brugeren eller indlejret i system (fx ""Jeg vil gerne X"" - ""For at gøre x skal du"")
Forsøg at beskriv de scripts eller baggrundsviden der forudsættes af brugssituationen. Her kan det hjælpe at tage en forholdsvis naiv position
Hvor kan I se plan-perspektivet i spil i jeres analyse af teknologien og brugssituationen (det kan også være omkring nedbrud)
Situated action
Forsøg at identificer ressourcerne i situationen -- hvilke elementer understøtter brugeren I at forstå teknologien og/eller brugen?
Forsøg at identificer hvordan sproget (hvis der er flere) bruges til at forstå teknologien og/eller løse problematiske situationer og eller nedbrud.
Hvis I har adgang til det, forsøg at undersøg eller forestil jer de steder der er behov for at arbejde med eller skabe gensidig forståelse i situationen.
Hvor kan I se situated action i spil i jeres analyse af teknologien og brugssituationen?",Suchman.pdf,,,,FALSE
17,COMARK,Exercises,18,Transport Layer,Friday,Transport Layer,"1 From ICN Book (the first edition)
1.1 Chapter 11
Exercises: 2.0, 1.0
Ignore the experiments with python. Also, the experiments involving another machine is optional.
While doing exercise 1.0 above, open wireshark and capture the packets that are being sent/received.
Find out the source and destination IP addresses and ports. Do they match what you see from the program?
How about the data? Does the data shown in wireshark match what is being sent/received?
1.2 Chapter 12
Exercises: 2.0, 4.0, 4.5, 5.0, 6.0, 7.0, 10.0, 12.0, 1.0
The question 6.5 is also included but I have reworded it below as it was not very clear in the original
description. In 12.3 TCP Connection Establishment , we noted that RST packets had to have a valid SEQ
value, that is, their SEQ number should be within the accept window of the receiver, but RFC 793 “does
not require the RST packet’s ACK value to match”. There is an exception for RST packets arriving at state
SYN-SENT: “the RST is acceptable if the ACK field acknowledges the SYN”. Explain the reasoning behind this
exception. Note that ”RST is acceptable“ means that the RST signal is accepted and thus the connection is
aborted; if RST is not accepted then the packet containing the RST flag is ignored.",exercises.pdf,,,,FALSE
18,STAT,Exercises,18,Multinomial Models,Thursday,Multinomialmodellen,Øvelse 3 (Geologi/Biologi/IT) hørende til Kapitel 3: Multinomialmodellen. Efter øvelsen skal der laves en rapport over opgave 3.6.,https://data.math.au.dk/interactive/istar/Bog4IT.html,,,,FALSE
19,EXSYS,Lectures,18,Situated Actions,Monday,Plans and Situated Actions,"Going through Suchmans text about ""Plans and Situated Actions”",link to Alexa-video,situatedActionSlides.pdf,uge18.mov,,FALSE
20,EXSYS,Lectures,18,Benyon ,Wednesday,Benyon ,I'm going to talk about the text from Benyon (2014) and compare it to Sucmans text about situated action.,,BenyonSlides.pdf,uge18.mov,,FALSE
21,COMARK,Lectures,18,IP        ,Tuesday,IP        ,All videos for this week is in the reocrding tap. i will be talking about IP protocols.,,IpprotocolSlides.pdf,https://cs.au.dk/~peyman/videos/carch/network/ip/ip.html,,FALSE
22,COMARK,Lectures,18,Ethernet,Thursday,Ethernet,All videos for this week is in the reocrding tap. i will be talking about Ethernet protocols.,,EthernetSlides.pdf,https://cs.au.dk/~peyman/videos/carch/network/link/link.html,,FALSE
23,STAT,Lectures,18,G-test,Thursday,G-test,"Tirsdag gennemgik jeg G-testet og goodness of t test svarende til kapitel 3 frem til og med afsnit 3.5. P-værdien skulle beregnes gennem en χ 2 -fordeling, som vi kommer til at høre mere om i næste uge.",,week18slides1.pdf,uge18.mov,,FALSE
24,STAT,Lectures,18,Homogeneity test,Friday,Homogenitetstestet,fredag genemgik jeg homogenitetstestet i afsnittene 3.6 og 3.7. Afsnit 3.8 kan I selv læse. Den anden time fredag lavede vi studiecafe. Det så ud til at fungere nt: jeg havde spørgsmål at svare på nogenlunde kontinuerligt gennem timen.,,week18slides2.pdf,uge18.mov,,FALSE
25,EXSYS,Literature,19,Prototypes,Monday,Prototypes,"I denne uge skal vi læse om og diskutere hvad prototyper er i en design- og udviklingsprocess. Vi vil introducere en tekst der har en bred forståelse af prototype og nogle gode begreber til at snakke om og analysere prototyper og jeres systemer. Læringsmålene for forelæsningen er som følger:
De studerende bliver introduceret til prototyper fra et teoretisk perspektiv
De studerende bliver introduceret til principper for prototyping i design- og udviklingsprocesser
De studerende vil blive introduceret til principper for udvælgelse af fokus områder for deres egne prototyper
De studerende vil blive introduceret til eksempler hvorpå begreber omkring prototyper kan bruges analytisk til at forstå egne prototyper i systemudvikling

The Anatomy of Prototypes
Lim, Y. K., Stolterman, E., & Tenenberg, J. (2008). The anatomy of prototypes: Prototypes as filters, prototypes as manifestations of design ideas. ACM Transactions on Computer-Human Interaction (TOCHI), 15(2), 1-27. https://doi.org/10.1145/1375761.1375762 (tilgængelig indenfor AUs netværk eller au.library.dk)
[Med udgangspunkt i evalueringer har jeg valgt at fjerne læseestimater for teksterne. De kan produceres efter forespørgsel]
I skal læse hele teksten. Jeg vil foreslå at I læse introduktionen og afsnit 2 først, for derefter at læse introduktionen igen. Herefter fortsætter med afsnit 3 til 5.
Læs afsnit 3 grundigt. Forsøg at forstå hvad teksten mener med prototype som filtre og hvordan kan vi arbejde med det som en aktiv strategi i systemudvikling?
Læs afsnit 4 grundigt. Forsøg at forstå hvad der menes med prototyper som manifestationer af design idéer. Overvej, med udgangspunkt i deres diskussion omkring materiale, hvornår og hvordan en idé bliver `manifesteret', herunder fordele ved at udtrykke idéer i flere forskellige formater og materiale.
Læs afsnit 5 grundig. Forsøg at forstå først ""filtering dimensions"" (afsnit 5.1 og tabel 2) og derefter ""manifestation dimension"" (afsnit 5.2 og tabel 3). Læs herefter afsnit 6 med de 2 cases.
Læs afsnit 7 og 8 normalt.

",Prototypes.pdf,,,,FALSE
26,COMARK,Literature,19,The digital logic level,Tuesday,The digital logic level,SCO Chapter 3; Appendix A,SCO3.pdf,,,,FALSE
27,STAT,Literature,19,Multiple regression,Wednesday,Multiple regression,l Kapitel 7: Multipel regression,https://data.math.au.dk/interactive/istar/Bog4IT.html,j,,,FALSE
28,EXSYS,Exercises,19,Project status,Monday,Project status,"Fra nu er skal I arbejde på jeres projekter som det primære fokus for tiden udenfor forelæsninger, herunder øvelserne. Der vil være kursus- eller pensumrelaterede ting til øvelserne også, men I skal til at tænke det som et SCRUM møde hvor I skal redegøre for status på jeres projekt, nuværende fokus (backlog og sprint), behov og udfordringer. I den opsætning er jeres gruppe et produktteam der arbejder sammen med andre teams og står til ansvar over for dem i forhold til at holde alle opdateret på udfordringer, ressource deling mm. TAs mm. aggerer SCRUM masters etc.
 
I skal kunne redegøre for:
Hvad I arbejde på op til TØ?
Hvad I skal arbejde med indtil næste TØ?
Primære udfordringer:
-          Er der noget der blokerer jer?
-          Er der spørgsmål I skal have svar på?
-          Er der tekniske udfordringer?
-          Er der ressourcer I skal have afklaret?
Hvordan påvirker ovenstående jeres plan og estimater?
 
Baseret på gennemgangen ovenfor skal I efterfølgende revidere jeres plan (gem den gamle, så vi kan kigge på forskelle til sidst omkring læring). Husk, at selvom vi endnu ikke er i 2-ugers sprint strukturen, så skal I stadig være specifikke og evaluere både projektets status og teamets respons derpå.
",,TØ19.pdf,,,FALSE
29,COMARK,Exercises,19,Basic Competencies,Friday,Practicing Basic Competencies,PDF fra uge 6 ,,TØ19.pdf,,,FALSE
30,STAT,Exercises,19,Multiple regression,Friday,Multiple regression,Øvelse 7 (Geologi/Biologi/IT) hørende til Kapitel 7: Multipel regression. Efter øvelsen skal der laves en rapport over opgave 7.3,,TØ19.pdf,,,FALSE
31,EXSYS,Lectures,19,Writing technique,Monday,Writing technique,"Godmorgen alle,
I dag vil der være en forelæsning om akademisk skriveteknik. Det vil være grundlaget for jeres næste aflevering og den endelig rapport i kurset. Vi skal snakke tilgang, struktur, referencer og meget mere. Det vil være en variant af det oplæg som IT-studerende allerede har set til ITPDP, men det er et emne som godt tåler gentagelse.
Vi ses kl. 14.15 på zoom.
Bedste hilsner,
Henrik
",,WritingTechniques.pdf,uge19.mov,,FALSE
32,EXSYS,Lectures,19,No lecture today!,Wednesday,No lecture today!,Enjoy!,,,uge19.mov,,FALSE
33,COMARK,Lectures,19,The digital logic level,Tuesday,The digital logic level,THE DIGITAL LOGIC LEVEL,,DigitalLogicLeves.pdf,uge19.mov,,FALSE
34,COMARK,Lectures,19,The digital logic level,Thursday,The digital logic level,THE DIGITAL LOGIC LEVEL,,DigitalLogicLevel.pdf,uge19.mov,,FALSE
35,STAT,Lectures,19,Multiple regression,Tuesday,Multiple regression,"Tirsdag talte jeg om regression med gruppebestemt regressionskoecient og om multipel regression med modelreduktion via backward og forward selektion. Fredag talte jeg om cross validation som måde til at skelne mellem forskellige modeller. Det gennemgåede svarer til kapitel 7 i webbogen.
Tirsdag vil jeg lave afrunding. Hvis der bliver tid tilovers bruges denne som studiecafe. 
",,MultipleRegression.pdf,uge19.mov,,FALSE
36,STAT,Lectures,19,Study café,Friday,Study café,This friday there will be a double study cafe session!,,StudyExercises.pdf,uge19.mov,,FALSE
